**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 0
0.0,**** Simulation starts!! ****
662.0, elevID,0,  pos,-2,  cmd, goto,10
665.0, elevID,1,  pos,7,  cmd, goto,8
676.0, elevID,1,  pos,8,  cmd, goto,9
684.0, elevID,0,  pos,10,  cmd, goto,9
687.0, elevID,1,  pos,9,  cmd, goto,10
695.0, elevID,0,  pos,9,  cmd, goto,8
698.0, elevID,1,  pos,10,  cmd, goto,-2
706.0, elevID,0,  pos,8,  cmd, goto,7
717.0, elevID,0,  pos,7,  cmd, goto,6
720.0, elevID,1,  pos,-2,  cmd, goto,-1
728.0, elevID,0,  pos,6,  cmd, goto,5
731.0, elevID,1,  pos,-1,  cmd, goto,0
739.0, elevID,0,  pos,5,  cmd, goto,4
742.0, elevID,1,  pos,0,  cmd, goto,1
750.0, elevID,0,  pos,4,  cmd, goto,3
753.0, elevID,1,  pos,1,  cmd, goto,2
761.0, elevID,0,  pos,3,  cmd, goto,2
764.0, elevID,1,  pos,2,  cmd, goto,3
772.0, elevID,0,  pos,2,  cmd, goto,1
775.0, elevID,1,  pos,3,  cmd, goto,4
783.0, elevID,0,  pos,1,  cmd, goto,0
786.0, elevID,1,  pos,4,  cmd, goto,5
794.0, elevID,0,  pos,0,  cmd, goto,-1
797.0, elevID,1,  pos,5,  cmd, goto,6
805.0, elevID,0,  pos,-1,  cmd, goto,-2
808.0, elevID,1,  pos,6,  cmd, goto,7
816.0, elevID,0,  pos,-2,  cmd, goto,10
819.0, elevID,1,  pos,7,  cmd, goto,8
830.0, elevID,1,  pos,8,  cmd, goto,9
838.0, elevID,0,  pos,10,  cmd, goto,9
841.0, elevID,1,  pos,9,  cmd, goto,10
849.0, elevID,0,  pos,9,  cmd, goto,8
852.0, elevID,1,  pos,10,  cmd, goto,-2
860.0, elevID,0,  pos,8,  cmd, goto,7
871.0, elevID,0,  pos,7,  cmd, goto,6
874.0, elevID,1,  pos,-2,  cmd, goto,-1
882.0, elevID,0,  pos,6,  cmd, goto,5
885.0, elevID,1,  pos,-1,  cmd, goto,0
893.0, elevID,0,  pos,5,  cmd, goto,4
896.0, elevID,1,  pos,0,  cmd, goto,1
904.0, elevID,0,  pos,4,  cmd, goto,3
907.0, elevID,1,  pos,1,  cmd, goto,2
915.0, elevID,0,  pos,3,  cmd, goto,2
918.0, elevID,1,  pos,2,  cmd, goto,3
926.0, elevID,0,  pos,2,  cmd, goto,1
929.0, elevID,1,  pos,3,  cmd, goto,4
937.0, elevID,0,  pos,1,  cmd, goto,0
940.0, elevID,1,  pos,4,  cmd, goto,5
948.0, elevID,0,  pos,0,  cmd, goto,-1
951.0, elevID,1,  pos,5,  cmd, goto,6
959.0, elevID,0,  pos,-1,  cmd, goto,-2
962.0, elevID,1,  pos,6,  cmd, goto,7
970.0, elevID,0,  pos,-2,  cmd, goto,10
973.0, elevID,1,  pos,7,  cmd, goto,8
984.0, elevID,1,  pos,8,  cmd, goto,9
992.0, elevID,0,  pos,10,  cmd, goto,9
995.0, elevID,1,  pos,9,  cmd, goto,10
1000.0,************* Simulation Ended ************
Code Owners,123456789,  Case,2,  Total waiting time: 0.0,  average waiting time per call: NaN,  unCompleted calls,0,  certificate, -209066590
